吧,ba,(partícula modal que indica sugerencia o conjetura)
白,bái,blanco
百,bǎi,cien
帮助,bāng zhù,ayuda
报纸,bào zhǐ,periódico
比,bǐ,más que (partícula comparativa)
别,bié,no (imperativo)
长,cháng,longitud
唱歌,chàng gē,cantar una canción
出,chū,salir
船,chuán,barco
穿,chuān,introducir; usar una prenda
次,cì,vez
从,cóng,de/desde
错,cuò,error
大家,dà jiā,todos
打篮球,dá lán qiú,jugar al baloncesto
但是,dàn shì,pero
到,dào,a/hasta
得,de,partícula estructural que indica la calidad o el grado en que se ejecuta un verbo
得,děi,tener que
弟弟,dì di,hermano menor
第一,dì yī,primero
懂,dǒng,entender
房间,fáng jiān,habitación
非常,fēi cháng,inusual
服务员,fú wù yuán,camarero
高,gāo,alto
告诉,gào su,decirle
哥哥,gē ge,hermano mayor
给,gěi,a
公共汽车,gōng gòng qì chē,autobús
公斤,gōng jīn,kilogramo
公司,gōng sī,empresa
贵,guì,caro
还,hái,aún/todavía
孩子,hái zi,niño
号,hào,número ordinal
好吃,hǎo chī,sabroso
黑,hēi,negro
红,hóng,rojo
还,huán,devolver
欢迎,huān yíng,bienvenido
回答,huí dá,responder
机场,jī chǎng,aeropuerto
鸡蛋,jī dàn,huevo (de gallina)
件,jiàn,"prenda; ítem (clasificador)"
教室,jiào shì,aula
姐姐,jiě jie,hermana mayor
介绍,jiè shào,presentar (a alguien)
进,jìn,avanzar;cerca
近,jìn,cerca
就,jiù,inmediatamente
觉得,jué de,pensar
咖啡,kā fēi,café
开始,kāi shǐ,empezar
考试,kǎo shì,hacer un examen
课,kè,materia; lección
可能,kě néng,podría (suceder)
可以,kě yǐ,poder
快,kuài,rápido
快乐,kuài lè,feliz
累,lèi,cansado
离,lí,salir
两,liǎng,par/ambos
路,lù,camino
旅游,lǚ yóu,viaje
卖,mài,vender
慢,màn,lento
忙,máng,ocupado
每,měi,cada
妹妹,mèi mei,hermana menor
门,mén,puerta
男人,nán rén,hombre
您,nín,usted
牛奶,niú nǎi,leche de vaca
女人,nǚ rén,mujer
旁边,páng biān,al lado
跑步,pǎo bù,caminar rápido
便宜,pián yi,barato
票,piào,boleto
起床,qǐ chuáng,levantarse de la cama
妻子,qī zi,esposa
千,qiān,mil
晴,qíng,claro
去年,qù nián,el año pasado
让,ràng,permitir
上班,shàng bān,ir a trabajar
身体,shēn tǐ,cuerpo; salud
生病,shēng bìng,enfermarse
生日,shēng rì,cumpleaños
时间,shí jiān,tiempo
事情,shì qing,amorío
手表,shǒu biǎo,reloj de mano
手机,shǒu jī,celular
送,sòng,entregar/regalar
所以,suǒ yǐ,por lo tanto
它,tā,él
题,tí,tema
踢,tī,patear
跳舞,tiào wǔ,bailar
外,wài,afuera
玩,wán,juguete
完,wán,terminar
晚上,wǎn shang,noche
为,wèi,variante de 為|为
问,wèn,preguntar
问题,wèn tí,pregunta
洗,xǐ,lavar
西瓜,xī guā,sandía
希望,xī wàng,desear/esperar
向,xiàng,hacia
笑,xiào,reír
小时,xiǎo shí,hora
新,xīn,nuevo
姓,xìng,apellido
休息,xiū xi,descansar
雪,xuě,nieve
眼睛,yǎn jing,ojo
颜色,yán sè,color
羊肉,yáng ròu,carne de cordero
要,yào,importante
药,yào,medicamento
也,yě,también
已经,yǐ jīng,ya
一起,yī qǐ,junto a
意思,yì si,idea
阴,yīn,nublado; oculto
因为,yīn wèi,porque
右边,yòu bian,derecha
游泳,yóu yǒng,nadar
鱼,yú,pez
元,yuán,yuan (moneda)
远,yuǎn,lejos
运动,yùn dòng,ejercitar
再,zài,de nuevo
早上,zǎo shang,madrugada
长,zhǎng,largo
张,zhāng,abrir
丈夫,zhàng fu,marido
找,zhǎo,buscar
着,zhe,partícula de aspecto que indica que una acción o estado está en curso o es continuo
真,zhēn,en realidad
正在,zhèng zài,en proceso
知道,zhī dào,saber
准备,zhǔn bèi,preparación
自行车,zì xíng chē,bicicleta
走,zǒu,caminar
最,zuì,el más/la más (partícula de superlativo)
左边,zuǒ bian,izquierda
